,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在留資格,(すべて),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
性別,(すべて),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢（５歳階級）,(すべて),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,(すべて),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計 / 在留外国人数,列ラベル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行ラベル,01_001：アフガニスタン,01_002：アラブ首長国連邦,01_003：イエメン,01_004：イスラエル,01_005：イラク,01_006：イラン,01_007：インド,01_008：インドネシア,01_009：オマーン,01_010：カタール,01_011：韓国,01_012：（朝鮮）,01_014：カンボジア,01_015：キプロス,01_016：クウェート,01_017：サウジアラビア,01_018：シリア,01_019：シンガポール,01_020：スリランカ,01_021：タイ,01_022：台湾,01_023：中国,01_026：トルコ,01_028：ネパール,01_029：バーレーン,01_030：パキスタン,01_031：パレスチナ,01_032：バングラデシュ,01_033：東ティモール,01_034：フィリピン,01_035：ブータン,01_036：ブルネイ,01_037：ベトナム,01_038：マレーシア,01_039：ミャンマー,01_040：モルディブ,01_041：モンゴル,01_042：ヨルダン,01_043：ラオス,01_044：レバノン,02_045：アイスランド,02_046：アイルランド,02_047：アゼルバイジャン,02_048：アルバニア,02_049：アルメニア,02_050：アンドラ,02_051：イタリア,02_052：ウクライナ,02_053：ウズベキスタン,02_054：英国,02_056：エストニア,02_057：オーストリア,02_058：オランダ,02_059：カザフスタン,02_060：北マケドニア,02_061：ギリシャ,02_062：キルギス,02_063：クロアチア,02_064：コソボ共和国,02_065：サンマリノ,02_066：ジョージア,02_067：スイス,02_068：スウェーデン,02_069：スペイン,02_070：スロバキア,02_071：スロベニア,02_072：セルビア,02_073：セルビア?モンテネグロ,02_074：タジキスタン,02_075：チェコ,02_077：デンマーク,02_078：ドイツ,02_079：トルクメニスタン,02_080：ノルウェー,02_082：ハンガリー,02_083：フィンランド,02_084：フランス,02_085：ブルガリア,02_086：ベラルーシ,02_087：ベルギー,02_088：ポーランド,02_089：ボスニア?ヘルツェゴビナ,02_090：ポルトガル,02_091：マルタ,02_092：モナコ,02_093：モルドバ,02_094：モンテネグロ,02_096：ラトビア,02_097：リトアニア,02_098：リヒテンシュタイン,02_099：ルーマニア,02_100：ルクセンブルク,02_101：ロシア,03_102：アルジェリア,03_103：アンゴラ,03_104：ウガンダ,03_105：エジプト,03_106：エスワティニ,03_107：エチオピア,03_108：エリトリア,03_109：ガーナ,03_110：カーボベルデ,03_111：ガボン,03_112：カメルーン,03_113：ガンビア,03_114：ギニア,03_115：ギニアビサウ,03_116：ケニア,03_117：コートジボワール,03_118：コモロ,03_119：コンゴ共和国,03_120：コンゴ民主共和国,03_121：サントメ?プリンシペ,03_122：ザンビア,03_123：シエラレオネ,03_124：ジブチ,03_125：ジンバブエ,03_126：スーダン,03_127：セーシェル,03_128：赤道ギニア,03_129：セネガル,03_130：ソマリア,03_131：タンザニア,03_132：チャド,03_133：中央アフリカ,03_134：チュニジア,03_135：トーゴ,03_136：ナイジェリア,03_137：ナミビア,03_138：ニジェール,03_139：ブルキナファソ,03_140：ブルンジ,03_141：ベナン,03_142：ボツワナ,03_143：マダガスカル,03_144：マラウイ,03_145：マリ,03_146：南アフリカ共和国,03_147：南スーダン共和国,03_148：モーリシャス,03_149：モーリタニア,03_150：モザンビーク,03_151：モロッコ,03_152：リビア,03_153：リベリア,03_154：ルワンダ,03_155：レソト,04_156：アンティグア?バーブーダ,04_157：エルサルバドル,04_158：カナダ,04_159：キューバ,04_160：グアテマラ,04_161：グレナダ,04_162：コスタリカ,04_163：ジャマイカ,04_164：セントクリストファー?ネービス,04_165：セントビンセント,04_166：セントルシア,04_167：ドミニカ,04_168：ドミニカ共和国,04_169：トリニダード?トバゴ,04_170：ニカラグア,04_171：ハイチ,04_172：パナマ,04_173：バハマ,04_174：バルバドス,04_175：米国,04_176：ベリーズ,04_177：ホンジュラス,04_178：メキシコ,05_179：アルゼンチン,05_180：ウルグアイ,05_181：エクアドル,05_182：ガイアナ,05_183：コロンビア,05_184：スリナム,05_185：チリ,05_186：パラグアイ,05_187：ブラジル,05_188：ベネズエラ,05_189：ペルー,05_190：ボリビア,06_191：オーストラリア,06_193：キリバス,06_194：サモア,06_195：ソロモン,06_197：ツバル,06_198：トンガ,06_199：ナウル,06_201：ニュージーランド,06_202：バヌアツ,06_203：パプアニューギニア,06_204：パラオ,06_205：フィジー,06_206：マーシャル,06_207：ミクロネシア,07_000：無国籍,総計
01：北海道,162 ,0 ,0 ,14 ,2 ,23 ,"1,703 ","11,167 ",1 ,0 ,"4,762 ",461 ,686 ,0 ,1 ,4 ,14 ,106 ,687 ,"1,600 ","1,785 ","10,495 ",84 ,"3,020 ",0 ,937 ,1 ,342 ,1 ,"3,822 ",4 ,3 ,"14,035 ",334 ,"5,668 ",9 ,644 ,7 ,37 ,3 ,3 ,66 ,9 ,0 ,1 ,1 ,90 ,54 ,93 ,723 ,11 ,24 ,29 ,14 ,0 ,3 ,45 ,7 ,0 ,0 ,2 ,27 ,41 ,63 ,16 ,9 ,12 ,0 ,0 ,26 ,31 ,176 ,0 ,10 ,30 ,44 ,313 ,8 ,7 ,19 ,51 ,7 ,17 ,1 ,0 ,1 ,0 ,6 ,10 ,0 ,28 ,2 ,552 ,0 ,2 ,28 ,85 ,0 ,23 ,6 ,24 ,1 ,0 ,10 ,1 ,16 ,0 ,32 ,6 ,0 ,0 ,23 ,0 ,46 ,1 ,1 ,59 ,2 ,0 ,0 ,10 ,0 ,7 ,0 ,0 ,3 ,1 ,64 ,4 ,1 ,3 ,0 ,4 ,1 ,10 ,21 ,4 ,86 ,3 ,13 ,0 ,8 ,19 ,0 ,2 ,7 ,1 ,1 ,9 ,396 ,13 ,6 ,0 ,3 ,27 ,1 ,0 ,0 ,1 ,7 ,4 ,1 ,1 ,8 ,0 ,2 ,"1,639 ",1 ,6 ,75 ,71 ,5 ,13 ,0 ,25 ,0 ,40 ,18 ,203 ,31 ,68 ,12 ,777 ,0 ,4 ,0 ,0 ,2 ,0 ,192 ,2 ,2 ,0 ,6 ,0 ,0 ,4 ,"69,620 "
02：青森県,30 ,0 ,0 ,0 ,0 ,5 ,63 ,"1,225 ",0 ,0 ,670 ,50 ,226 ,0 ,0 ,0 ,0 ,3 ,48 ,165 ,78 ,"1,035 ",3 ,253 ,0 ,130 ,0 ,20 ,0 ,"1,048 ",0 ,0 ,"2,399 ",26 ,616 ,0 ,60 ,0 ,27 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,17 ,2 ,0 ,34 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,10 ,1 ,0 ,1 ,0 ,0 ,1 ,2 ,9 ,0 ,1 ,3 ,0 ,39 ,1 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,16 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,7 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,39 ,0 ,0 ,0 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,425 ,0 ,0 ,8 ,5 ,0 ,0 ,0 ,5 ,0 ,1 ,0 ,36 ,0 ,11 ,1 ,19 ,0 ,0 ,0 ,0 ,3 ,0 ,11 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,"8,949 "
03：岩手県,10 ,0 ,0 ,0 ,0 ,2 ,119 ,"1,699 ",0 ,0 ,664 ,70 ,206 ,0 ,0 ,0 ,10 ,3 ,27 ,252 ,122 ,"1,571 ",0 ,443 ,0 ,105 ,0 ,162 ,0 ,"1,620 ",0 ,0 ,"2,919 ",35 ,816 ,0 ,99 ,1 ,18 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,2 ,7 ,9 ,129 ,0 ,4 ,6 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,5 ,5 ,2 ,0 ,0 ,1 ,0 ,0 ,1 ,2 ,13 ,0 ,0 ,0 ,1 ,21 ,0 ,1 ,1 ,4 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,13 ,2 ,0 ,0 ,5 ,0 ,2 ,0 ,1 ,0 ,0 ,4 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,56 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,240 ,0 ,2 ,8 ,7 ,0 ,1 ,0 ,4 ,0 ,1 ,3 ,102 ,0 ,20 ,0 ,40 ,0 ,0 ,0 ,0 ,2 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"11,775 "
04：宮城県,47 ,1 ,1 ,6 ,2 ,25 ,312 ,"3,148 ",0 ,0 ,"2,980 ",207 ,237 ,2 ,1 ,2 ,52 ,36 ,863 ,443 ,518 ,"5,735 ",39 ,"3,561 ",0 ,556 ,2 ,588 ,0 ,"1,811 ",27 ,0 ,"5,078 ",86 ,"1,925 ",2 ,165 ,2 ,19 ,0 ,1 ,15 ,2 ,1 ,0 ,0 ,48 ,43 ,7 ,146 ,7 ,6 ,26 ,3 ,3 ,2 ,1 ,3 ,1 ,0 ,0 ,10 ,23 ,41 ,7 ,0 ,1 ,0 ,0 ,7 ,1 ,86 ,0 ,0 ,7 ,13 ,163 ,1 ,4 ,13 ,16 ,0 ,8 ,1 ,0 ,2 ,1 ,4 ,5 ,0 ,15 ,0 ,115 ,3 ,0 ,5 ,33 ,0 ,10 ,0 ,19 ,1 ,0 ,5 ,1 ,2 ,0 ,19 ,0 ,0 ,0 ,6 ,0 ,12 ,0 ,0 ,15 ,9 ,0 ,0 ,7 ,0 ,5 ,0 ,0 ,5 ,0 ,32 ,1 ,0 ,1 ,0 ,4 ,2 ,2 ,2 ,2 ,32 ,0 ,0 ,1 ,1 ,7 ,0 ,2 ,0 ,0 ,0 ,2 ,146 ,4 ,2 ,0 ,9 ,14 ,0 ,0 ,0 ,0 ,4 ,2 ,3 ,1 ,0 ,1 ,0 ,812 ,0 ,1 ,29 ,14 ,1 ,3 ,0 ,12 ,0 ,23 ,3 ,184 ,8 ,35 ,7 ,104 ,2 ,1 ,3 ,0 ,2 ,0 ,19 ,0 ,1 ,0 ,1 ,1 ,0 ,3 ,"31,041 "
05：秋田県,19 ,1 ,0 ,4 ,0 ,7 ,50 ,567 ,0 ,0 ,480 ,38 ,101 ,0 ,0 ,0 ,3 ,13 ,125 ,99 ,53 ,955 ,1 ,179 ,0 ,66 ,0 ,15 ,0 ,"1,012 ",0 ,3 ,"1,099 ",49 ,365 ,0 ,91 ,0 ,8 ,0 ,2 ,9 ,0 ,0 ,0 ,0 ,12 ,6 ,16 ,57 ,2 ,2 ,6 ,5 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,5 ,1 ,1 ,1 ,0 ,12 ,1 ,4 ,18 ,0 ,2 ,1 ,4 ,23 ,0 ,1 ,3 ,7 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,8 ,1 ,24 ,0 ,0 ,3 ,5 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,1 ,0 ,1 ,3 ,1 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,1 ,8 ,5 ,1 ,1 ,10 ,0 ,1 ,1 ,4 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,31 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,254 ,0 ,0 ,7 ,1 ,0 ,2 ,0 ,1 ,0 ,4 ,0 ,15 ,0 ,7 ,0 ,34 ,0 ,0 ,0 ,0 ,2 ,0 ,9 ,0 ,4 ,0 ,5 ,0 ,0 ,2 ,"6,097 "
06：山形県,0 ,0 ,0 ,3 ,0 ,1 ,69 ,718 ,0 ,0 ,"1,351 ",28 ,168 ,0 ,0 ,1 ,2 ,9 ,19 ,216 ,138 ,"1,896 ",5 ,307 ,0 ,100 ,0 ,98 ,0 ,"1,117 ",0 ,0 ,"3,017 ",39 ,655 ,0 ,92 ,0 ,40 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,8 ,8 ,7 ,52 ,1 ,0 ,7 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,8 ,1 ,0 ,1 ,0 ,0 ,0 ,2 ,21 ,0 ,0 ,5 ,1 ,14 ,2 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,11 ,0 ,14 ,0 ,0 ,4 ,7 ,0 ,5 ,0 ,3 ,0 ,0 ,5 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,1 ,0 ,19 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,2 ,6 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,31 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,222 ,1 ,0 ,3 ,3 ,0 ,0 ,0 ,2 ,0 ,1 ,3 ,85 ,0 ,14 ,4 ,18 ,0 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,"10,753 "
07：福島県,36 ,0 ,0 ,2 ,1 ,11 ,251 ,"1,914 ",0 ,0 ,"1,254 ",148 ,222 ,0 ,0 ,0 ,3 ,7 ,277 ,392 ,142 ,"3,127 ",15 ,"1,432 ",0 ,268 ,0 ,172 ,1 ,"3,246 ",29 ,2 ,"5,153 ",63 ,"1,146 ",0 ,124 ,0 ,32 ,1 ,1 ,7 ,0 ,0 ,0 ,0 ,16 ,21 ,5 ,100 ,1 ,1 ,6 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,3 ,1 ,7 ,1 ,0 ,2 ,0 ,0 ,1 ,2 ,23 ,0 ,2 ,6 ,0 ,22 ,2 ,6 ,1 ,7 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,2 ,0 ,5 ,0 ,44 ,1 ,0 ,0 ,5 ,0 ,5 ,0 ,13 ,0 ,0 ,7 ,1 ,0 ,0 ,5 ,1 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,10 ,0 ,23 ,1 ,0 ,3 ,0 ,1 ,0 ,0 ,1 ,0 ,14 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,83 ,1 ,0 ,0 ,4 ,11 ,0 ,0 ,0 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,1 ,299 ,0 ,0 ,12 ,13 ,0 ,2 ,0 ,10 ,0 ,2 ,10 ,204 ,12 ,50 ,12 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,"20,708 "
08：茨城県,642 ,0 ,8 ,10 ,55 ,205 ,"2,506 ","11,381 ",0 ,1 ,"4,056 ",261 ,"1,521 ",3 ,1 ,3 ,53 ,43 ,"6,281 ","5,679 ","1,403 ","13,040 ",47 ,"4,842 ",0 ,"3,750 ",7 ,"1,739 ",3 ,"12,109 ",4 ,4 ,"20,704 ",261 ,"3,072 ",4 ,569 ,13 ,456 ,7 ,1 ,19 ,11 ,0 ,1 ,0 ,54 ,90 ,143 ,231 ,5 ,8 ,24 ,52 ,0 ,9 ,47 ,4 ,0 ,0 ,3 ,18 ,15 ,52 ,10 ,4 ,14 ,0 ,27 ,8 ,8 ,106 ,7 ,5 ,20 ,10 ,222 ,4 ,10 ,13 ,30 ,0 ,8 ,2 ,0 ,5 ,0 ,2 ,10 ,0 ,41 ,0 ,267 ,11 ,1 ,47 ,173 ,0 ,19 ,5 ,105 ,0 ,0 ,69 ,8 ,13 ,0 ,37 ,0 ,0 ,1 ,6 ,0 ,14 ,3 ,0 ,15 ,13 ,0 ,0 ,17 ,1 ,5 ,0 ,0 ,25 ,0 ,146 ,2 ,0 ,1 ,1 ,3 ,3 ,12 ,8 ,6 ,48 ,3 ,0 ,1 ,14 ,17 ,2 ,11 ,5 ,1 ,0 ,9 ,181 ,6 ,5 ,0 ,5 ,45 ,0 ,0 ,0 ,0 ,17 ,9 ,10 ,0 ,4 ,0 ,0 ,926 ,0 ,5 ,76 ,57 ,2 ,1 ,1 ,85 ,0 ,18 ,26 ,"5,764 ",57 ,"1,612 ",126 ,131 ,0 ,3 ,2 ,0 ,2 ,0 ,38 ,2 ,8 ,0 ,10 ,0 ,1 ,11 ,"106,490 "
09：栃木県,190 ,0 ,4 ,10 ,0 ,142 ,"1,438 ","4,504 ",0 ,1 ,"2,202 ",152 ,471 ,0 ,0 ,1 ,12 ,10 ,"3,594 ","2,183 ",991 ,"6,509 ",30 ,"4,736 ",0 ,"2,276 ",0 ,834 ,1 ,"5,654 ",33 ,0 ,"12,015 ",199 ,"2,023 ",0 ,303 ,5 ,60 ,2 ,0 ,6 ,4 ,0 ,1 ,0 ,24 ,16 ,39 ,138 ,4 ,9 ,10 ,1 ,0 ,0 ,16 ,1 ,0 ,0 ,0 ,5 ,7 ,18 ,0 ,0 ,0 ,0 ,0 ,3 ,2 ,48 ,2 ,0 ,6 ,3 ,40 ,1 ,2 ,5 ,14 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,5 ,0 ,39 ,0 ,76 ,6 ,0 ,6 ,9 ,1 ,4 ,0 ,22 ,0 ,0 ,35 ,0 ,9 ,0 ,18 ,2 ,0 ,0 ,36 ,0 ,6 ,0 ,0 ,10 ,2 ,0 ,0 ,2 ,0 ,6 ,0 ,0 ,11 ,2 ,50 ,1 ,0 ,0 ,0 ,1 ,3 ,2 ,5 ,2 ,22 ,0 ,0 ,0 ,12 ,8 ,0 ,3 ,5 ,0 ,0 ,2 ,76 ,4 ,3 ,0 ,2 ,15 ,0 ,0 ,0 ,0 ,13 ,5 ,1 ,0 ,0 ,0 ,0 ,496 ,0 ,3 ,33 ,119 ,0 ,1 ,0 ,40 ,0 ,8 ,88 ,"3,835 ",23 ,"3,139 ",371 ,55 ,0 ,1 ,0 ,0 ,0 ,0 ,21 ,0 ,0 ,1 ,12 ,0 ,0 ,8 ,"59,809 "
10：群馬県,58 ,0 ,4 ,5 ,1 ,172 ,"1,823 ","7,389 ",0 ,0 ,"2,014 ",264 ,535 ,1 ,0 ,1 ,8 ,20 ,"2,342 ","1,446 ",455 ,"6,890 ",127 ,"6,938 ",0 ,"1,634 ",1 ,"2,339 ",0 ,"9,697 ",1 ,1 ,"16,457 ",103 ,"3,836 ",0 ,447 ,1 ,164 ,7 ,0 ,16 ,3 ,1 ,0 ,0 ,22 ,34 ,45 ,136 ,1 ,6 ,2 ,4 ,0 ,2 ,29 ,0 ,0 ,0 ,0 ,7 ,7 ,17 ,2 ,1 ,4 ,0 ,0 ,2 ,1 ,28 ,0 ,0 ,10 ,4 ,44 ,7 ,2 ,0 ,16 ,0 ,9 ,0 ,0 ,3 ,0 ,0 ,3 ,0 ,76 ,0 ,75 ,3 ,0 ,8 ,32 ,0 ,2 ,0 ,25 ,0 ,0 ,32 ,0 ,30 ,0 ,10 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,12 ,1 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,11 ,0 ,38 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,7 ,45 ,18 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,95 ,7 ,0 ,0 ,7 ,10 ,0 ,0 ,0 ,1 ,15 ,4 ,1 ,8 ,2 ,1 ,0 ,570 ,0 ,2 ,39 ,167 ,5 ,2 ,0 ,62 ,0 ,47 ,254 ,"14,127 ",8 ,"4,922 ",673 ,99 ,0 ,0 ,0 ,0 ,6 ,0 ,42 ,0 ,1 ,0 ,0 ,0 ,0 ,28 ,"87,299 "
